linea_id,pedido_id,producto_id,talla,cantidad,precio_unitario,descuento_pct
900080,500033,1209,L,1,"13,65 €",0.0
900081,500033,1396,S,1,"15,65 €",0
900082,500034,1312,S,3,"35,92 €",40%
900083,500034,1254,M,1,"42,10 €",30%
900084,500034,1196,XL,1,"15,48 €",0.1
900085,500035,1216,M,1,"17,83 €",20
900086,500036,1042,l,1,"49,99 €",40%
900087,500037,1379,S,1,"31,72 €",0.0
900088,500038,1197,XL,1,"14,87 €",30
900089,500039,1011,Talla M,1,"58,99 €",0.1
900090,500039,1068,M,1,"49,68 €",0.2
900091,500039,1285,M,1,"39,82 €",0.1
900092,500040,1157,41,1,"47,95 €",0.5
900093,500040,1303,L,2,"34,22 €",30%
900094,500040,1106,41,1,"73,33 €",0.2
900095,500041,1164,XL,1,"18,58 €",20%
900096,500041,1035,L,1,"57,32 €",20%
900097,500042,1333,M,1,"89,35 €",0.0
900098,500042,1123,38,1,"77,67 €",30%
900099,500042,1252,M,1,"33,85 €",0.2
900100,500043,1042,s,1,"49,99 €",40
900101,500044,1042,l,1,"49,99 €",40%
900102,500045,1357,L,1,"16,44 €",30%
900103,500046,1061,S,2,"46,35 €",20%
900104,500046,1105,39,1,"77,31 €",10%
900105,500047,1014,m,1,"48,60 €",10
900106,500047,1324,XL,1,"40,15 €",0.0
900107,500048,1055,XL,1,"33,15 €",0.4
900108,500049,1086,M,1,"33,74 €",10%
900109,500049,1203,m,2,"19,01 €",40
900110,500050,1365,s,1,"27,56 €",10%
900111,500050,1324,XS,1,"40,15 €",0.2
900112,500051,1106,36,2,"73,33 €",0.4
900113,500051,1315,M,3,"32,56 €",20
900114,500052,1042,M,2,"49,99 €",0.4
900115,500052,1246,S,1,"32,78 €",0.1
900116,500052,1044,m,1,"36,91 €",0.3
900117,500052,1193,XS,1,"20,23 €",0.0
900118,500053,1343,Talla M,1,"81,92 €",0.2
900119,500053,1322,m,1,"33,07 €",0.5
900120,500054,1042,m,1,"49,99 €",40%
900121,500054,1103,41,1,"62,95 €",0.4
900122,500054,1090,XS,1,"34,56 €",0.3
900123,500054,1198,XS,1,"16,38 €",0.2
900124,500055,1315,M,1,"32,56 €",30%
900125,500055,1329,S,1,"45,80 €",20%
900126,500056,1013,Talla XL,1,"31,03 €",20%
900127,500056,1334,L,1,"41,41 €",30%
900128,500056,1122,40,1,"63,66 €",0.1
900129,500056,1205,XS,1,"13,61 €",30%
900130,500056,1392,M,1,"12,73 €",0
900131,500056,1347,S,2,"80,46 €",20%
900132,500057,1154,40,2,"70,63 €",30
900133,500058,1229,l,3,"38,72 €",40%
900134,500058,1316,XS,2,"43,89 €",30%
900135,500059,1109,37,3,"76,92 €",0.0
900136,500060,1228,s,1,"37,14 €",0.4
900137,500061,1205,S,2,"13,61 €",0.4
900138,500062,1021,M,1,"43,85 €",10
900139,500063,1106,39,1,"73,33 €",0.0
900140,500064,1097,40,1,"45,52 €",0.5
900141,500064,1257,M,1,"41,13 €",20%
900142,500064,1204,L,1,"12,35 €",20%
900143,500064,1292,L,1,"32,80 €",30%
900144,500064,1098,38,1,"38,24 €",0.4
900145,500065,1229,M,1,"38,72 €",0.2
900146,500065,1391,XL,1,"13,83 €",10
900147,500065,1391,Talla M,1,"13,83 €",0.3
900148,500065,1305,s,1,"32,92 €",0.2
900149,500065,1011,Talla L,1,"58,99 €",0.2
900150,500066,1382,l,1,"30,95 €",30
900151,500067,1270,m,1,"37,43 €",20
900152,500067,1204,S,1,"12,35 €",0.0
900153,500067,1292,M,1,"32,80 €",30
900154,500068,1381,M,1,"34,45 €",0
900155,500068,1226,Talla L,1,"35,69 €",20%
900156,500069,1294,M,1,"28,15 €",30%
900157,500070,1174,M,1,"20,68 €",30%
900158,500070,1015,L,1,"33,85 €",20%
900159,500070,1219,Talla XS,2,"17,73 €",0.3
900160,500070,1272,L,2,"29,98 €",10%
900161,500070,1391,L,1,"13,83 €",20
900162,500070,1362,M,1,"26,07 €",0.1
900163,500071,1042,L,1,"49,99 €",40%
900164,500071,1238,M,1,"36,15 €",30
900165,500072,1234,XL,1,"26,50 €",20%
900166,500072,1243,S,1,"42,14 €",0.1
900167,500072,1283,Talla M,3,"24,64 €",0.3
900168,500072,1285,m,1,"39,82 €",0.4
900169,500072,1318,S,1,"40,14 €",0
900170,500073,1296,S,1,"41,51 €",20%
900171,500074,1183,L,1,"22,12 €",10%
900172,500074,1362,L,1,"26,07 €",0.2
900173,500075,1285,Talla S,1,"39,82 €",40%
900174,500075,1164,M,1,"18,58 €",20%
900175,500075,1141,Talla 36,1,"47,53 €",0
900176,500076,1272,S,1,"29,98 €",20%
900177,500076,1050,L,1,"52,78 €",40
900178,500076,1106,39,2,"73,33 €",0.1
900179,500076,1015,L,2,"33,85 €",0%
900180,500077,1200,S,2,"21,79 €",30%
900181,500078,1386,M,1,"32,98 €",0%
900182,500078,1259,L,1,"30,24 €",0%
900183,500078,1328,L,1,"51,49 €",0%
900184,500078,1061,Talla XL,1,"46,35 €",0%
900185,500078,1140,39,1,"39,31 €",0.0
900186,500079,1160,37,1,"65,05 €",10
900187,500079,1285,xs,2,"39,82 €",10%
900188,500080,1303,Talla S,1,"34,22 €",0.2
900189,500081,1273,L,1,"32,69 €",20%
900190,500081,1224,Talla XS,1,"25,88 €",0.3
900191,500082,1198,m,1,"16,38 €",0%
900192,500082,1309,s,1,"29,96 €",0.0
900193,500082,1237,xs,1,"35,53 €",0
900194,500082,1263,L,1,"39,31 €",0%
900195,500082,1055,xs,1,"33,15 €",0.2
900196,500083,1334,L,1,"41,41 €",10
900197,500083,1070,S,1,"27,27 €",0.3
900198,500083,1128,42,1,"71,15 €",0%
900199,500083,1186,s,1,"16,09 €",20%
900200,500083,1357,XL,1,"16,44 €",30%
900201,500083,1054,XL,1,"59,30 €",10
900202,500084,1289,M,2,"22,39 €",20%
900203,500085,1124,41,2,"77,92 €",10%
900204,500086,1066,m,1,"34,07 €",20%
900205,500086,1040,s,2,"49,21 €",0.3
900206,500086,1071,Talla M,1,"29,62 €",20
900207,500086,1322,Talla S,1,"33,07 €",0.0
900208,500086,1158,39,1,"44,36 €",40%
900209,500087,1070,Talla M,2,"27,27 €",0.1
900210,500087,1357,xl,1,"16,44 €",20
900211,500088,1252,S,1,"33,85 €",10%
900212,500088,1315,XS,2,"32,56 €",20%
900213,500089,1063,Talla XS,1,"41,19 €",20%
900214,500089,1257,XL,1,"41,13 €",20%
900215,500089,1185,M,3,"21,81 €",30
900216,500089,1079,M,1,"46,26 €",0.0
900217,500089,1269,S,1,"20,24 €",0.0
900218,500090,1197,XL,1,"14,87 €",0.1
900219,500091,1362,XL,2,"26,07 €",50%
900220,500091,1345,XL,1,"85,68 €",10
900221,500091,1094,Talla 39,1,"61,63 €",0.2
900222,500091,1116,38,1,"50,71 €",20
900223,500092,1360,S,1,"18,88 €",20%
900224,500092,1030,S,1,"46,38 €",0.2
900225,500092,1068,S,1,"49,68 €",30
900226,500093,1362,XL,1,"26,07 €",20%
900227,500094,1285,L,1,"39,82 €",10%
900228,500095,1387,XL,1,"10,36 €",30%
900229,500096,1273,L,1,"32,69 €",0.2
900230,500096,1210,Talla M,1,"18,98 €",20%
900231,500097,1042,S,2,"49,99 €",40
900232,500097,1096,41,1,"53,68 €",40
900233,500098,1340,S,1,"80,92 €",20
900234,500098,1053,S,2,"38,51 €",0.3
900235,500099,1088,S,1,"36,00 €",0.3
900236,500099,1121,37,2,"72,81 €",0.2
900237,500099,1364,S,1,"11,29 €",0.3
900238,500099,1093,36,1,"68,61 €",0.2
900239,500100,1377,Talla S,1,"31,22 €",20
900240,500100,1009,L,1,"25,67 €",30
900241,500101,1127,36,1,"79,76 €",50
900242,500101,1106,36,1,"73,33 €",20%
900243,500102,1275,M,2,"24,89 €",0.3
900244,500103,1061,l,1,"46,35 €",0%
900245,500103,1392,M,1,"12,73 €",0.2
900246,500103,1161,M,1,"23,07 €",10%
900247,500103,1049,Talla L,1,"47,10 €",40%
900248,500103,1304,XS,1,"44,49 €",20%
900249,500104,1042,M,1,"49,99 €",0.4
900250,500104,1364,Talla S,1,"11,29 €",40%
900251,500104,1346,Talla S,1,"45,31 €",20
900252,500104,1204,XL,1,"12,35 €",30%
900253,500105,1170,S,1,"12,32 €",0.3
900254,500105,1345,M,1,"85,68 €",20%
900255,500105,1082,L,1,"49,65 €",20
900256,500105,1290,M,1,"23,54 €",30%
900257,500106,1185,Talla M,1,"21,81 €",20%
900258,500106,1337,xl,1,"63,78 €",0.1
900259,500106,1120,36,1,"65,76 €",0.2
900260,500107,1012,L,1,"40,99 €",0.4
900261,500107,1020,S,2,"35,48 €",0.2
900262,500107,1106,38,1,"73,33 €",30
900263,500108,1180,L,1,"17,79 €",30
900264,500108,1014,M,1,"48,60 €",40%
900265,500109,1042,s,1,"49,99 €",0.4
900266,500109,1136,38,2,"73,76 €",30
900267,500109,1204,M,1,"12,35 €",30
900268,500110,1374,M,1,"12,90 €",0.2
900269,500110,1220,XL,1,"18,87 €",40%
900270,500111,1305,M,1,"32,92 €",0
900271,500112,1119,39,1,"55,00 €",0.2
900272,500112,1142,36,1,"75,44 €",0.3
900273,500112,1184,S,1,"14,15 €",20
900274,500113,1273,Talla L,1,"32,69 €",20%
900275,500113,1192,L,1,"13,33 €",0.2
900276,500113,1244,XL,1,"26,77 €",10
900277,500113,1299,m,1,"43,49 €",0.1
900278,500114,1298,XL,1,"30,07 €",10
900279,500115,1312,M,1,"35,92 €",40%
900280,500115,1277,L,3,"28,10 €",20
900281,500115,1229,M,1,"38,72 €",0.3
900282,500116,1329,Talla S,1,"45,80 €",0%
900283,500116,1367,S,1,"13,47 €",0.0
900284,500117,1392,M,1,"12,73 €",0.2
900285,500117,1245,S,1,"40,31 €",10%
900286,500117,1279,S,1,"28,28 €",0%
900287,500118,1384,s,1,"25,64 €",0.2
900288,500118,1102,37,1,"68,36 €",0
900289,500118,1068,M,1,"49,68 €",0.4
900290,500119,1042,l,1,"49,99 €",40%
900291,500120,1200,m,1,"21,79 €",0.4
900292,500121,1260,S,3,"41,99 €",0.0
900293,500121,1204,L,1,"12,35 €",0.0
900294,500121,1184,XL,1,"14,15 €",10%
900295,500121,1239,M,1,"31,88 €",0
900296,500121,1352,S,1,"12,43 €",0
900297,500121,1109,39,1,"76,92 €",0
900298,500122,1080,XS,1,"34,78 €",40%
900299,500122,1168,L,1,"19,82 €",10%
900300,500123,1308,L,1,"36,22 €",30
900301,500123,1389,M,1,"21,34 €",0.3
900302,500123,1101,41,2,"57,43 €",20%
900303,500123,1285,M,2,"39,82 €",10%
900304,500123,1070,Talla L,1,"27,27 €",0.3
900305,500124,1038,l,1,"27,52 €",0.0
900306,500124,1182,XL,1,"16,74 €",0.1
900307,500124,1240,M,1,"41,66 €",0.0
900308,500125,1134,37,1,"31,21 €",30%
900309,500125,1084,M,1,"59,12 €",10%
900310,500126,1362,m,1,"26,07 €",30
900311,500126,1374,l,2,"12,90 €",10
900312,500126,1283,Talla L,1,"24,64 €",0.2
900313,500127,1034,Talla L,1,"42,28 €",20
900314,500127,1017,Talla XL,1,"33,77 €",20%
900315,500127,1285,XS,1,"39,82 €",0.2
900316,500127,1359,M,1,"29,93 €",30%
900317,500128,1134,38,1,"31,21 €",50
900318,500128,1177,Talla M,1,"20,83 €",40%
900319,500128,1021,L,1,"43,85 €",40%
900320,500129,1305,XS,1,"32,92 €",0.0
900321,500130,1078,XL,1,"56,16 €",30%
900322,500130,1362,M,1,"26,07 €",30
900323,500131,1155,41,1,"61,83 €",0.1
900324,500132,1073,XL,1,"26,22 €",0.2
900325,500132,1204,M,1,"12,35 €",20
900326,500133,1038,Talla S,1,"27,52 €",0.1
900327,500133,1060,l,2,"48,04 €",0%
900328,500134,1141,42,2,"47,53 €",40%
900329,500134,1364,M,1,"11,29 €",0.5
900330,500135,1195,Talla S,1,"18,13 €",30
900331,500136,1146,38,1,"34,21 €",30%
900332,500136,1106,38,1,"73,33 €",20%
900333,500136,1127,37,1,"79,76 €",20
900334,500137,1042,XL,2,"49,99 €",40%
900335,500137,1193,L,1,"20,23 €",30
900336,500138,1330,S,1,"48,41 €",40%
900337,500138,1073,m,1,"26,22 €",0
900338,500139,1103,41,1,"62,95 €",0%
900339,500139,1204,S,1,"12,35 €",0.1
900340,500139,1044,Talla M,1,"36,91 €",0
900341,500140,1223,XS,1,"29,79 €",0%
900342,500141,1042,M,2,"49,99 €",0.4
900343,500141,1081,S,1,"55,86 €",0.2
900344,500141,1117,41,1,"49,56 €",30
900345,500142,1376,S,1,"26,99 €",30%
900346,500142,1170,Talla XL,3,"12,32 €",20
900347,500142,1014,L,1,"48,60 €",0.2
900348,500143,1327,L,1,"77,26 €",10%
900349,500144,1362,Talla M,1,"26,07 €",50%
900350,500144,1375,L,1,"22,99 €",20%
900351,500145,1204,l,1,"12,35 €",0.0
900352,500145,1204,M,2,"12,35 €",0%
900353,500146,1042,XL,2,"49,99 €",40%
900354,500147,1350,M,1,"57,49 €",0.4
900355,500147,1211,L,1,"12,54 €",0.1
900356,500147,1384,XL,1,"25,64 €",10%
900357,500148,1210,S,1,"18,98 €",0.0
900358,500149,1042,XL,2,"49,99 €",40%
900359,500149,1148,39,1,"36,02 €",10
900360,500149,1198,XS,1,"16,38 €",0.3
900361,500149,1132,38,1,"72,05 €",20%
900362,500149,1036,M,2,"51,15 €",20
900363,500150,1285,L,1,"39,82 €",0.4
900364,500150,1329,l,1,"45,80 €",0.3
900365,500150,1292,l,1,"32,80 €",30%
900366,500150,1372,S,1,"28,06 €",20%
900367,500151,1185,XS,2,"21,81 €",0.2
900368,500151,1015,XL,1,"33,85 €",20%
900369,500152,1283,M,1,"24,64 €",0.0
900370,500152,1111,Talla 38,1,"59,92 €",0%
900371,500153,1314,XS,3,"42,15 €",40%
900372,500153,1350,L,1,"57,49 €",20%
900373,500153,1087,Talla M,2,"49,59 €",10%
900374,500153,1015,M,1,"33,85 €",20
900375,500153,1242,XS,1,"38,06 €",0.3
900376,500154,1271,Talla M,3,"39,71 €",0.3
900377,500155,1349,m,1,"53,20 €",0.2
900378,500156,1204,M,1,"12,35 €",20%
900379,500156,1315,M,1,"32,56 €",0.2
900380,500157,1126,39,1,"52,20 €",0.4
900381,500157,1189,Talla L,2,"16,40 €",40%
900382,500158,1252,L,1,"33,85 €",0.2
900383,500158,1237,S,1,"35,53 €",20
900384,500158,1298,XL,1,"30,07 €",0
900385,500159,1199,L,1,"21,22 €",0%
900386,500160,1176,L,1,"23,41 €",0
900387,500160,1161,S,2,"23,07 €",10
900388,500160,1045,XS,1,"57,82 €",0%
900389,500160,1362,l,1,"26,07 €",0.1
900390,500161,1229,M,1,"38,72 €",0.2
900391,500161,1349,L,1,"53,20 €",10
900392,500161,1100,40,1,"49,80 €",20
900393,500162,1036,L,2,"51,15 €",0%
900394,500162,1393,Talla M,1,"13,58 €",0%
900395,500163,1197,XS,1,"14,87 €",0.2
900396,500163,1281,L,1,"34,30 €",10%
900397,500163,1280,XL,1,"29,54 €",10
900398,500163,1277,M,1,"28,10 €",0.2
900399,500163,1362,S,1,"26,07 €",0.2
900400,500164,1256,XL,1,"30,08 €",40
900401,500164,1219,L,1,"17,73 €",0.2
900402,500164,1315,XL,1,"32,56 €",40%
900403,500164,1072,m,1,"46,42 €",20%
900404,500165,1287,S,1,"35,59 €",0.3
900405,500166,1075,L,1,"43,55 €",0.2
900406,500166,1013,S,1,"31,03 €",30%
900407,500166,1291,L,1,"28,71 €",20
900408,500166,1003,XS,1,"55,06 €",20%
900409,500166,1161,m,1,"23,07 €",0.3
900410,500166,1332,L,1,"87,31 €",40%
900411,500167,1319,L,1,"30,13 €",20%
900412,500167,1346,XS,1,"45,31 €",0.3
900413,500167,1111,39,1,"59,92 €",20%
900414,500167,1340,S,1,"80,92 €",30
900415,500168,1352,L,1,"12,43 €",0.3
900416,500168,1204,Talla XL,1,"12,35 €",10%
900417,500169,1400,S,1,"25,30 €",30
900418,500170,1169,L,3,"14,75 €",20
900419,500170,1204,L,1,"12,35 €",0.3
900420,500170,1370,L,1,"32,70 €",20
900421,500170,1301,L,1,"46,93 €",0.4
900422,500171,1097,41,1,"45,52 €",40
900423,500171,1345,S,1,"85,68 €",10%
900424,500172,1042,S,1,"49,99 €",40%
900425,500173,1151,Talla 37,1,"47,09 €",0.0
900426,500174,1115,38,1,"64,90 €",10%
900427,500174,1293,M,1,"37,48 €",30
900428,500174,1086,M,1,"33,74 €",20
900429,500175,1362,XL,1,"26,07 €",0.0
900430,500175,1053,M,1,"38,51 €",0%
900431,500176,1086,m,1,"33,74 €",20%
900432,500176,1010,S,1,"32,90 €",0%
900433,500177,1053,XL,1,"38,51 €",40
900434,500177,1284,L,1,"20,70 €",0.2
900435,500177,1106,38,1,"73,33 €",40%
900436,500177,1094,38,1,"61,63 €",0.5
900437,500178,1090,Talla XS,1,"34,56 €",0
900438,500178,1298,Talla M,1,"30,07 €",20%
900439,500179,1226,XS,2,"35,69 €",0.4
900440,500180,1362,xs,1,"26,07 €",0.2
900441,500180,1048,XS,1,"36,45 €",50
900442,500181,1073,M,1,"26,22 €",30%
900443,500181,1197,xl,1,"14,87 €",40%
900444,500182,1164,Talla XS,3,"18,58 €",10
900445,500182,1340,M,1,"80,92 €",0.0
900446,500182,1204,L,1,"12,35 €",0%
900447,500182,1257,L,1,"41,13 €",10%
900448,500183,1229,Talla L,1,"38,72 €",0
900449,500184,1225,s,1,"39,08 €",20%
900450,500185,1080,L,2,"34,78 €",0.1
900451,500185,1359,L,1,"29,93 €",10%
900452,500186,1022,Talla M,2,"36,94 €",0.4
900453,500186,1374,S,1,"12,90 €",40%
900454,500187,1385,xl,1,"28,77 €",20%
900455,500187,1294,XL,3,"28,15 €",0.3
900456,500188,1381,S,1,"34,45 €",20%
900457,500188,1314,S,1,"42,15 €",40%
900458,500189,1273,l,1,"32,69 €",0.2
900459,500190,1159,38,1,"51,99 €",10
900460,500190,1388,Talla L,1,"15,95 €",0.1
900461,500190,1148,Talla 39,1,"36,02 €",10%
900462,500190,1236,XL,1,"32,57 €",0.0
900463,500191,1227,S,2,"25,33 €",0.3
900464,500191,1139,40,1,"49,46 €",0.4
900465,500192,1155,42,1,"61,83 €",20
900466,500192,1302,Talla M,1,"47,49 €",20%
900467,500193,1232,Talla S,1,"26,48 €",0.0
900468,500193,1305,XL,1,"32,92 €",0.0
900469,500194,1036,M,1,"51,15 €",0
900470,500195,1042,S,3,"49,99 €",40
900471,500195,1333,M,1,"89,35 €",0.2
900472,500196,1065,M,1,"49,52 €",20%
900473,500196,1221,M,1,"28,31 €",0.2
900474,500197,1054,Talla XL,1,"59,30 €",20%
900475,500197,1359,s,1,"29,93 €",40%
900476,500197,1379,M,3,"31,72 €",10%
900477,500197,1218,XS,1,"23,13 €",0.3
900478,500198,1170,s,1,"12,32 €",10
900479,500198,1204,S,1,"12,35 €",0.1
900480,500199,1062,XS,1,"43,22 €",10%
900481,500199,1169,Talla S,1,"14,75 €",0.2
900482,500200,1216,S,1,"17,83 €",30%
900483,500200,1187,L,1,"17,31 €",0.3
900484,500200,1279,XS,1,"28,28 €",0.2
900485,500200,1041,L,1,"57,12 €",20
900486,500201,1083,M,1,"54,14 €",20
900487,500201,1385,XL,1,"28,77 €",20%
900488,500202,1042,L,1,"49,99 €",0.4
900489,500203,1219,M,1,"17,73 €",0.0
900490,500203,1222,s,1,"27,70 €",0.0
900491,500203,1260,S,1,"41,99 €",0.1
900492,500203,1263,S,2,"39,31 €",0%
900493,500204,1223,Talla M,1,"29,79 €",20%
900494,500204,1113,40,1,"38,95 €",0.2
900495,500204,1197,m,1,"14,87 €",0%
900496,500204,1121,40,1,"72,81 €",30%
900497,500205,1028,M,1,"48,82 €",0.5
900498,500206,1204,L,1,"12,35 €",10%
900499,500207,1360,XL,1,"18,88 €",20%
900500,500208,1046,XL,1,"42,24 €",30
900501,500209,1359,M,2,"29,93 €",0.0
900502,500210,1355,m,1,"26,01 €",0
900503,500210,1242,S,1,"38,06 €",0
900504,500211,1362,M,1,"26,07 €",50
900505,500211,1123,37,1,"77,67 €",0.2
900506,500211,1004,M,1,"45,55 €",0.2
900507,500212,1197,M,1,"14,87 €",40%
900508,500212,1397,M,1,"20,12 €",10
900509,500212,1080,L,1,"34,78 €",40
900510,500213,1090,Talla L,1,"34,56 €",0.0
900511,500214,1042,S,1,"49,99 €",40%
900512,500214,1070,M,1,"27,27 €",30%
900513,500215,1074,L,1,"27,23 €",0.0
900514,500216,1022,S,1,"36,94 €",40%
900515,500217,1006,S,1,"40,90 €",0%
900516,500217,1370,XL,1,"32,70 €",0
900517,500218,1204,L,1,"12,35 €",20%
900518,500218,1303,S,1,"34,22 €",0.5
900519,500219,1225,m,1,"39,08 €",0.5
900520,500220,1096,40,1,"53,68 €",10
900521,500220,1380,Talla XL,1,"34,77 €",30%
900522,500221,1042,M,1,"49,99 €",40
900523,500221,1272,M,1,"29,98 €",0.2
900524,500222,1381,S,1,"34,45 €",0
900525,500222,1011,XS,1,"58,99 €",0.1
900526,500223,1342,L,1,"54,22 €",40%
900527,500224,1132,39,1,"72,05 €",0.2
900528,500224,1030,S,1,"46,38 €",0.5
900529,500225,1215,L,3,"23,23 €",20
900530,500226,1111,38,1,"59,92 €",0%
900531,500226,1347,L,1,"80,46 €",0%
900532,500227,1390,Talla S,1,"19,91 €",20%
900533,500227,1285,S,1,"39,82 €",0.2
900534,500228,1275,S,1,"24,89 €",0
900535,500228,1138,38,2,"48,26 €",10%
900536,500228,1229,s,2,"38,72 €",20%
900537,500228,1292,XS,1,"32,80 €",20
900538,500228,1303,S,1,"34,22 €",30%
900539,500228,1170,M,1,"12,32 €",30
900540,500229,1166,M,1,"15,50 €",0.0
900541,500229,1077,XS,1,"57,81 €",0.2
900542,500229,1078,XL,1,"56,16 €",20
900543,500229,1047,L,2,"27,30 €",30
900544,500229,1271,Talla S,1,"39,71 €",0.1
900545,500230,1135,40,1,"71,49 €",20
900546,500231,1010,M,1,"32,90 €",0.0
900547,500232,1229,L,2,"38,72 €",20%
900548,500232,1296,XL,1,"41,51 €",20%
900549,500232,1300,L,2,"32,84 €",10%
900550,500233,1351,M,1,"26,88 €",30
900551,500233,1164,S,1,"18,58 €",10%
900552,500233,1252,s,1,"33,85 €",0.2
900553,500234,1229,S,2,"38,72 €",0.0
900554,500234,1197,XL,1,"14,87 €",0%
900555,500235,1042,M,1,"49,99 €",40%
900556,500235,1203,M,1,"19,01 €",20%
900557,500236,1204,Talla L,1,"12,35 €",30
900558,500236,1283,XL,1,"24,64 €",50%
900559,500237,1176,xs,1,"23,41 €",0.1
900560,500237,1197,L,1,"14,87 €",0.2
900561,500237,1055,Talla S,3,"33,15 €",30%
900562,500237,1276,s,1,"24,73 €",40%
900563,500237,1199,S,1,"21,22 €",40%
900564,500238,1240,S,1,"41,66 €",0.1
900565,500238,1115,42,1,"64,90 €",0.0
900566,500238,1198,Talla L,1,"16,38 €",0.0
900567,500239,1087,S,1,"49,59 €",0.2
900568,500240,1385,s,1,"28,77 €",20%
900569,500240,1006,XS,1,"40,90 €",0.4
900570,500240,1027,XS,2,"34,91 €",0
900571,500240,1368,M,1,"20,18 €",20
900572,500241,1053,S,3,"38,51 €",30
900573,500241,1262,M,1,"36,87 €",10%
900574,500241,1203,m,2,"19,01 €",0.2
900575,500241,1111,Talla 39,1,"59,92 €",0.3
900576,500242,1254,M,1,"42,10 €",0.2
900577,500242,1374,S,1,"12,90 €",0
900578,500243,1164,XS,1,"18,58 €",50
900579,500243,1351,S,2,"26,88 €",30%
900580,500243,1193,XL,1,"20,23 €",40%
900581,500243,1310,m,1,"40,69 €",20
900582,500243,1094,38,1,"61,63 €",40%
900583,500243,1090,XL,1,"34,56 €",10%
900584,500244,1218,L,1,"23,13 €",0%
900585,500244,1013,M,1,"31,03 €",50
900586,500244,1227,XS,1,"25,33 €",20
900587,500244,1046,S,1,"42,24 €",20
