devolucion_id,linea_id,fecha_devolucion,talla,motivo
704730,917106,08/07/2024,M,defecto
705201,918900,2024-07-20,S,cambió de opinión
703938,914371,2024-07-20,s,talla incorrecta
705417,919696,16 jul 2024,XL,defecto
701189,904461,2024-07-17,XL,talla incorrecta
704196,915293,20 jul 2024,xs,no me gusta
703042,911081,2024-07-10,S,talla incorrecta
705516,919998,2024-07-08,Talla L,no me queda bien
701943,907106,2024-07-02,38,talla incorrecta
700457,901725,19 jul 2024,L,talla incorrecta
700442,901676,2024-07-17,S,talla incorrecta
704583,916611,2024-07-08,S,no me queda bien
701862,906765,2024-07-08,S,color distinto
702779,910132,5 jul 2024,37,color distinto
704846,917547,2024-07-14,XS,no me gusta
703776,913774,2024-07-09,S,defecto
702997,910931,10/07/2024,Talla 36,no me gusta
705274,919162,2024-07-16,39,defecto
700904,903458,16/07/2024,Talla M,cambió de opinión
704829,917494,03/07/2024,S,no me gusta
700484,901840,2024-07-02,S,no me queda bien
704499,916292,2024-07-09,XL,no me gusta
701130,904243,14/07/2024,XL,talla incorrecta
704419,916038,2024-07-06,L,talla incorrecta
703859,914064,2024-07-07,Talla S,talla incorrecta
701397,905153,13 jul 2024,39,talla incorrecta
700698,902641,2024-07-15,XS,color distinto
705056,918342,14/07/2024,42,color distinto
700655,902484,2024-07-16,M,no me queda bien
703761,913718,17/07/2024,XL,no me gusta
702680,909771,2024-07-20,S,talla incorrecta
701936,907081,2024-07-07,Talla 40,no me queda bien
705217,918951,15/07/2024,XL,no me gusta
703149,911479,21/07/2024,M,talla incorrecta
704217,915368,14/07/2024,S,talla incorrecta
701854,906745,11 jul 2024,S,talla incorrecta
704668,916891,2024-07-12,38,talla incorrecta
702503,909091,2024-07-14,l,no me queda bien
703465,912616,2024-07-19,XL,no me gusta
702406,908771,2024-07-09,XS,talla incorrecta
700288,901070,2024-07-12,xl,defecto
701219,904552,08/07/2024,M,talla incorrecta
701824,906663,2024-07-03,L,talla incorrecta
700162,900627,17/07/2024,Talla XS,no me queda bien
703354,912263,2024-07-18,L,talla incorrecta
700103,900408,2024-07-18,XS,no me queda bien
702021,907444,2024-07-19,Talla XL,no me gusta
700567,902132,2024-07-16,Talla XL,cambió de opinión
702278,908347,21 jul 2024,L,me queda pequeño
704769,917255,2024-07-17,37,color distinto
700386,901502,2024-07-19,XL,defecto
705406,919663,12 jul 2024,M,defecto
701783,906545,2024-07-20,XS,no me gusta
700333,901262,13/07/2024,M,cambió de opinión
701005,903803,2024-07-14,36,talla incorrecta
700822,903115,2024-07-15,M,cambió de opinión
700546,902075,18/07/2024,M,talla incorrecta
700821,903114,2024-07-14,38,defecto
704304,915644,2024-07-10,Talla M,no me queda bien
702485,909045,2024-07-14,l,cambió de opinión
705203,918921,2024-07-16,M,no me gusta
705105,918535,21/07/2024,L,talla incorrecta
700976,903703,05/07/2024,Talla S,no me queda bien
704747,917185,2024-07-16,Talla XS,no me gusta
701515,905554,2024-07-16,Talla L,color distinto
701230,904589,07/07/2024,s,no me gusta
704162,915164,2024-07-16,37,color distinto
704491,916271,2024-07-17,L,talla incorrecta
701104,904136,20/07/2024,Talla 41,talla incorrecta
704024,914643,15/07/2024,39,no me queda bien
703457,912599,20 jul 2024,m,talla incorrecta
705557,2034641,2024-07-19,38,color distinto
703962,914438,13/07/2024,XS,talla incorrecta
704034,914679,15 jul 2024,L,no me gusta
704776,917287,15/07/2024,38,defecto
704111,914950,2024-07-18,M,talla incorrecta
704020,914625,18 jul 2024,M,defecto
705476,919902,2024-07-19,L,talla incorrecta
702525,909193,17/07/2024,41,color distinto
701607,905891,2024-07-19,Talla 39,defecto
702623,909572,17/07/2024,40,talla incorrecta
705322,919329,2024-07-13,xl,no me queda bien
704283,915595,08/07/2024,XS,no me gusta
700423,901621,2024-07-20,40,no me gusta
701996,907348,2024-07-10,l,color distinto
704468,916208,2024-07-16,xl,no me queda bien
701852,906740,2024-07-07,M,defecto
702887,910547,18/07/2024,s,no me gusta
703937,914368,2024-07-16,38,talla incorrecta
700114,900442,07/07/2024,M,talla incorrecta
701603,905878,2024-07-18,S,defecto
701942,907102,07/07/2024,38,talla incorrecta
700104,900418,2024-07-19,L,no me queda bien
705231,919022,2024-07-07,M,no me gusta
704961,917965,14 jul 2024,39,no me queda bien
702161,907928,17/07/2024,M,no me gusta
701973,907233,21/07/2024,s,talla incorrecta
701751,906432,15/07/2024,s,defecto
705089,918468,2024-07-19,L,no me gusta
702008,907389,16/07/2024,Talla 40,cambió de opinión
700826,903157,18/07/2024,M,talla incorrecta
703189,911633,2024-07-20,XS,talla incorrecta
702377,908697,2024-07-17,M,no me queda bien
703857,914060,2024-07-20,S,defecto
703070,911170,2024-07-11,Talla XL,defecto
700100,900404,18 jul 2024,S,talla incorrecta
702386,908717,2024-07-09,L,talla incorrecta
700831,903173,21/07/2024,M,talla incorrecta
703263,911934,2024-07-13,XL,color distinto
703547,912898,21 jul 2024,L,color distinto
702090,907695,17/07/2024,Talla L,no me queda bien
701223,904564,16/07/2024,38,talla incorrecta
705286,919200,2024-07-13,37,no me queda bien
700419,901606,2024-07-20,M,no me queda bien
702948,910761,20 jul 2024,Talla XS,no me gusta
702501,909086,2024-07-20,S,talla incorrecta
700516,901952,2024-07-20,L,talla incorrecta
701508,905509,2024-07-18,S,no me gusta
703142,911457,14 jul 2024,S,no me queda bien
700504,901905,11 jul 2024,XS,no me queda bien
703268,911955,2024-07-09,M,no me gusta
705186,918833,19 jul 2024,XL,talla incorrecta
705365,919516,2024-07-18,36,no me gusta
700209,900803,19 jul 2024,38,color distinto
703363,912286,2024-07-11,L,cambió de opinión
703424,912469,2024-07-20,L,no me gusta
702454,908932,6 jul 2024,Talla XL,no me gusta
702852,910420,13 jul 2024,41,no me queda bien
702099,907736,20/07/2024,Talla M,talla incorrecta
702768,910083,2024-07-15,38,no me queda bien
705126,918591,2024-07-16,40,color distinto
702840,910365,2024-07-17,40,defecto
703984,914515,18/07/2024,XS,no me queda bien
701963,907193,2024-07-17,39,talla incorrecta
702643,909634,2024-07-20,L,no me queda bien
701871,906803,19/07/2024,M,no me gusta
701532,905621,16/07/2024,M,talla incorrecta
700488,901845,2024-07-20,S,defecto
700836,903194,09/07/2024,l,no me queda bien
700009,900045,16/07/2024,L,color distinto
702899,910583,14/07/2024,M,color distinto
700728,902766,20/07/2024,M,defecto
704523,916364,17/07/2024,XL,no me queda bien
703895,914204,14/07/2024,XL,cambió de opinión
705279,919186,19 jul 2024,M,no me queda bien
703209,911726,2024-07-17,S,no me queda bien
705097,918489,16/07/2024,38,no me queda bien
704350,915808,19/07/2024,XL,color distinto
704284,915596,2024-07-19,XL,talla incorrecta
703806,913884,2024-07-22,40,no me queda bien
701175,904418,2024-07-20,40,defecto
700531,901994,2024-07-12,S,talla incorrecta
701954,907149,2024-07-20,L,no me queda bien
704511,916330,13/07/2024,xs,no me gusta
704325,915722,11/07/2024,L,cambió de opinión
700132,900506,11/07/2024,M,no me gusta
703486,912680,16/07/2024,40,no me gusta
701682,906173,7 jul 2024,M,color distinto
703936,914360,21/07/2024,Talla M,no me gusta
704029,914660,2024-07-11,Talla L,no me queda bien
705065,918369,2024-07-18,S,cambió de opinión
701470,905383,13/07/2024,XS,defecto
700973,903685,19 jul 2024,l,no me queda bien
701360,905024,20/07/2024,M,talla incorrecta
701908,906977,11/07/2024,Talla L,no me queda bien
701832,906689,11 jul 2024,L,no me gusta
703840,913997,09/07/2024,Talla S,defecto
704731,917109,2024-07-19,M,no me gusta
704806,917402,2024-07-19,XS,talla incorrecta
700606,902303,2024-07-21,xs,no me gusta
704270,915549,16/07/2024,XL,no me gusta
701279,904756,2024-07-10,L,no me queda bien
704791,917346,17/07/2024,m,cambió de opinión
700782,902973,18/07/2024,37,talla incorrecta
700886,903403,18 jul 2024,m,talla incorrecta
700241,900923,19/07/2024,Talla XL,cambió de opinión
701204,904504,18/07/2024,M,no me gusta
701102,904133,05/07/2024,S,no me queda bien
701530,905619,2024-07-19,Talla 39,talla incorrecta
700564,902126,19/07/2024,L,talla incorrecta
701922,907020,14/07/2024,S,no me queda bien
702357,908623,18/07/2024,S,talla incorrecta
702364,908660,17 jul 2024,S,no me queda bien
703692,913417,2024-07-14,S,talla incorrecta
703626,913204,2024-07-15,XL,talla incorrecta
700303,901130,17/07/2024,L,color distinto
700341,901299,17/07/2024,M,no me queda bien
703317,912131,22/07/2024,m,talla incorrecta
703006,910954,2024-07-19,Talla 39,talla incorrecta
703067,911163,2024-07-20,S,no me gusta
703247,911844,2024-07-16,S,no me queda bien
703474,912631,2024-07-21,37,no me gusta
702439,908869,19/07/2024,L,no me gusta
701777,906528,2024-07-21,M,no me gusta
701250,904651,11/07/2024,L,talla incorrecta
705230,919020,2024-07-13,39,talla incorrecta
702864,910453,2024-07-21,Talla M,talla incorrecta
704538,916440,2024-07-14,M,talla incorrecta
704857,917607,17/07/2024,38,talla incorrecta
701441,905299,2024-07-22,XL,talla incorrecta
700609,902316,2024-07-10,L,defecto
700892,903433,2024-07-16,L,no me gusta
700577,902178,2024-07-12,S,talla incorrecta
701318,904889,2024-07-17,Talla L,defecto
704688,916949,21/07/2024,37,talla incorrecta
701256,904674,21/07/2024,l,no me gusta
704655,916829,2024-07-16,S,color distinto
704839,917526,2024-07-19,XL,no me gusta
701261,904684,26/06/2024,S,no me queda bien
704000,914574,2024-07-20,S,talla incorrecta
703968,914461,2024-07-16,38,no me gusta
705531,2011474,09/07/2024,38,color distinto
702217,908154,9 jul 2024,M,talla incorrecta
701961,907179,2024-07-21,S,talla incorrecta
700991,903760,21/07/2024,40,no me queda bien
705515,919997,02/07/2024,M,no me gusta
700035,900156,2024-07-19,M,cambió de opinión
703577,913036,2024-07-19,M,no me queda bien
704844,917544,03/07/2024,L,cambió de opinión
700866,903310,2024-07-14,M,color distinto
705184,918810,17/07/2024,L,no me gusta
704723,917075,2024-07-20,M,no me queda bien
701357,905021,2024-07-16,Talla S,no me gusta
701487,905461,20/07/2024,L,defecto
704276,915567,08/07/2024,XL,talla incorrecta
700404,901557,2024-07-13,41,no me gusta
700049,900190,2024-07-15,XS,color distinto
700372,901417,16/07/2024,38,no me queda bien
700623,902357,2024-07-18,XL,no me gusta
703890,914188,15/07/2024,XL,color distinto
702759,910049,13/07/2024,XL,talla incorrecta
700384,901483,15/07/2024,38,talla incorrecta
703584,913066,2024-07-21,42,talla incorrecta
703404,912430,14/07/2024,L,no me queda bien
702939,910729,19 jul 2024,36,no me queda bien
705191,918849,2024-07-19,M,no me queda bien
704544,916466,2024-07-21,Talla M,cambió de opinión
702226,908177,15/07/2024,37,talla incorrecta
701391,905135,2024-07-19,39,no me queda bien
705243,919068,17/07/2024,l,no me queda bien
701778,906529,2024-07-16,L,no me gusta
703901,914233,2024-07-12,L,no me queda bien
705403,919656,13/07/2024,xs,no me gusta
705433,919749,14/07/2024,S,cambió de opinión
705156,918713,22/07/2024,36,talla incorrecta
704524,916367,2024-07-17,L,no me gusta
705108,918542,16/07/2024,S,talla incorrecta
702791,910177,2024-07-11,39,no me queda bien
700952,903609,2024-07-14,XS,no me gusta
702504,909095,2024-07-20,S,color distinto
704004,914588,21 jul 2024,Talla M,no me gusta
700547,902088,11/07/2024,S,color distinto
704724,917076,2024-07-18,XL,no me queda bien
702670,909738,15/07/2024,M,no me queda bien
703498,912720,22 jul 2024,39,no me gusta
704400,915963,2024-07-13,m,color distinto
704861,917622,16/07/2024,S,talla incorrecta
702236,908205,2024-07-19,Talla M,no me queda bien
700363,901401,15/07/2024,L,no me gusta
701128,904233,19/07/2024,l,no me queda bien
703281,912007,2024-07-16,S,no me queda bien
700239,900913,2024-07-08,M,talla incorrecta
704827,917491,2024-07-15,41,no me queda bien
700747,902831,2024-07-19,Talla 40,talla incorrecta
700586,902225,16 jul 2024,L,talla incorrecta
701006,903806,2024-07-18,M,cambió de opinión
703848,914016,15 jul 2024,37,no me gusta
700025,900108,2024-07-16,M,no me queda bien
703794,913823,18 jul 2024,Talla S,no me queda bien
701373,905062,18/07/2024,s,no me gusta
703536,912859,2024-07-09,XL,defecto
705367,919524,16/07/2024,L,talla incorrecta
701335,904956,2024-07-20,L,defecto
704674,916902,12 jul 2024,L,no me queda bien
705479,919907,5 jul 2024,S,no me queda bien
700770,902915,2024-07-18,XS,talla incorrecta
704573,916575,16/07/2024,XS,defecto
705093,918478,14 jul 2024,L,no me queda bien
703212,911732,18/07/2024,l,talla incorrecta
700324,901213,15/07/2024,S,no me gusta
701342,904974,2024-07-10,40,talla incorrecta
702958,910789,19/07/2024,L,no me queda bien
704429,916069,2024-07-15,L,talla incorrecta
704759,917233,17/07/2024,39,no me queda bien
705198,918881,16/07/2024,s,no me queda bien
702938,910725,18/07/2024,M,no me queda bien
704575,916586,2024-07-13,41,defecto
702857,910439,2024-07-18,M,talla incorrecta
700692,902631,2024-07-19,42,cambió de opinión
704795,917366,19/07/2024,S,no me gusta
700464,901771,2024-07-18,M,no me queda bien
705534,2027240,2024-07-09,L,no me queda bien
703367,912302,3 jul 2024,39,no me queda bien
703020,911002,2024-07-17,42,no me gusta
702933,910711,2024-07-17,M,no me queda bien
701080,904075,20/07/2024,38,no me gusta
703590,913089,2024-07-14,38,talla incorrecta
704518,916343,13/07/2024,XS,no me gusta
701595,905836,21 jul 2024,Talla M,Talla
700751,902844,2024-07-06,39,defecto
702524,909178,14/07/2024,L,talla incorrecta
703408,912440,2024-07-20,Talla M,talla incorrecta
704214,915355,2024-07-14,m,no me gusta
702975,910851,10 jul 2024,40,cambió de opinión
700737,902804,15/07/2024,40,no me queda bien
702828,910314,13/07/2024,XS,cambió de opinión
705079,918428,2024-07-13,L,defecto
704608,916685,20/07/2024,M,no me queda bien
700072,900261,19/07/2024,S,talla incorrecta
703236,911813,05/07/2024,36,color distinto
700034,900151,2024-07-20,m,talla incorrecta
703862,914081,16/07/2024,S,color distinto
704977,918057,2024-07-16,Talla XL,no me queda bien
701449,905319,12 jul 2024,41,no me queda bien
705359,919487,08/07/2024,Talla S,no me queda bien
704481,916249,2024-07-12,38,talla incorrecta
700452,901708,17 jul 2024,XL,talla incorrecta
701351,905002,2024-07-08,Talla L,no me gusta
700823,903134,21/07/2024,M,no me queda bien
702149,907893,2024-07-16,S,no me gusta
703550,912908,03/07/2024,L,no me queda bien
702610,909527,2024-07-18,41,no me queda bien
703082,911220,06/07/2024,S,no me queda bien
704614,916711,2024-07-19,XL,talla incorrecta
704031,914667,2024-07-20,m,talla incorrecta
704115,914966,13/07/2024,M,color distinto
702128,907830,2024-07-10,L,defecto
700509,901924,18 jul 2024,M,cambió de opinión
702017,907432,2024-07-14,40,talla incorrecta
703617,913168,13/07/2024,XL,no me gusta
701614,905913,2024-07-22,M,talla incorrecta
700722,902745,14/07/2024,S,color distinto
701239,904623,21/07/2024,M,no me gusta
702175,907979,12 jul 2024,L,defecto
705053,918325,2024-07-15,36,no me gusta
704722,917072,2024-07-01,L,no me gusta
703808,913899,2024-07-16,M,color distinto
703587,913071,08/07/2024,S,defecto
700362,901397,2024-07-15,M,no me gusta
705232,919024,2024-07-12,L,talla incorrecta
704678,916920,05/07/2024,S,talla incorrecta
702443,908893,2024-07-18,M,talla incorrecta
703672,913349,04/07/2024,L,color distinto
704179,915235,2024-07-13,L,talla incorrecta
700771,902919,2024-07-18,xs,color distinto
700908,903468,2024-07-18,xl,talla incorrecta
700197,900772,2024-07-17,XL,talla incorrecta
703101,911298,16/07/2024,S,no me queda bien
701734,906357,11/07/2024,L,no me queda bien
702744,909995,2024-07-04,M,defecto
705529,2046423,2024-07-22,Talla M,no me queda bien
702451,908920,2024-06-29,S,no me gusta
702146,907889,2024-07-16,s,talla incorrecta
701203,904499,19 jul 2024,m,talla incorrecta
701243,904632,19/07/2024,XL,no me gusta
703450,912565,2024-07-12,S,defecto
705249,919082,2024-07-17,S,no me queda bien
704361,915851,2024-06-28,38,defecto
705486,919926,2024-07-15,M,no me gusta
702288,908373,2024-07-13,S,talla incorrecta
700738,902806,2024-07-17,XL,color distinto
703628,913206,2024-07-11,XS,no me queda bien
705307,919286,19 jul 2024,M,defecto
703697,913448,12 jul 2024,Talla L,talla incorrecta
701709,906258,14/07/2024,S,no me queda bien
701784,906546,13/07/2024,L,no me gusta
702517,909140,2024-07-16,M,defecto
704321,915711,2024-07-19,M,no me queda bien
703714,913515,8 jul 2024,xl,cambió de opinión
701569,905757,2024-07-22,s,no me gusta
701240,904625,15 jul 2024,m,no me queda bien
705543,2014402,22 jul 2024,S,cambió de opinión
701170,904399,2024-07-15,40,no me gusta
702421,908820,2024-07-18,38,no me gusta
704973,918024,2024-07-05,S,no me gusta
703214,911739,2024-07-18,L,no me queda bien
701548,905685,2024-07-20,L,cambió de opinión
702068,907616,2024-07-08,M,defecto
701192,904468,10 jul 2024,xl,defecto
702047,907555,12/07/2024,S,no me queda bien
704036,914682,17/07/2024,37,talla incorrecta
705338,919395,10/07/2024,M,no me gusta
705160,918728,2024-07-21,M,talla incorrecta
702740,909989,2024-07-17,Talla XL,cambió de opinión
702342,908558,14 jul 2024,L,cambió de opinión
700693,902632,2024-07-16,S,no me gusta
700786,902997,2024-07-19,Talla L,no me gusta
701073,904050,2024-07-18,Talla 39,color distinto
704633,916766,2024-07-10,40,no me gusta
704340,915782,19/07/2024,L,no me gusta
703750,913671,2024-07-18,S,no me gusta
700843,903229,2024-07-19,XL,no me queda bien
701108,904146,2024-07-15,L,no me queda bien
703197,911660,11/07/2024,Talla 39,talla incorrecta
700487,901844,21/07/2024,XS,talla incorrecta
700562,902122,21/07/2024,XL,defecto
700392,901511,14/07/2024,m,color distinto
704101,914912,2024-07-07,S,talla incorrecta
702910,910616,2024-07-05,37,cambió de opinión
703976,914487,2024-07-17,M,cambió de opinión
704714,917048,11/07/2024,Talla S,cambió de opinión
701109,904147,14 jul 2024,39,talla incorrecta
705497,919949,15 jul 2024,S,no me gusta
700890,903420,17/07/2024,Talla 40,no me gusta
700955,903615,2024-07-13,XL,talla incorrecta
701937,907086,2024-06-29,XS,no me gusta
703065,911156,2024-07-05,Talla 40,color distinto
705260,919117,2024-07-17,L,cambió de opinión
705382,919570,2024-07-16,L,talla incorrecta
700909,903469,10 jul 2024,S,defecto
701950,907132,2024-07-11,Talla 38,talla incorrecta
703242,911837,08/07/2024,Talla M,no me queda bien
703860,914065,2024-07-20,40,talla incorrecta
703401,912422,14 jul 2024,S,color distinto
700627,902390,20/07/2024,M,cambió de opinión
704535,916429,7 jul 2024,39,talla incorrecta
702548,909288,2024-07-18,L,talla incorrecta
700611,902322,6 jul 2024,xl,defecto
705552,2015021,21/07/2024,M,no me gusta
703066,911160,2024-07-19,37,talla incorrecta
704770,917260,15/07/2024,S,defecto
703099,911296,2024-07-14,39,no me queda bien
703314,912123,2024-07-21,39,talla incorrecta
702419,908817,2024-07-21,36,cambió de opinión
702912,910620,20/07/2024,38,no me gusta
705328,919353,17 jul 2024,40,talla incorrecta
701412,905200,17/07/2024,s,no me gusta
705206,918926,2024-07-09,m,no me gusta
702635,909610,2024-07-17,39,talla incorrecta
704708,917024,2024-07-10,L,no me gusta
701013,903843,2024-07-21,L,cambió de opinión
701511,905536,16/07/2024,M,no me gusta
705473,919898,2024-07-15,L,no me gusta
702224,908168,2024-07-19,Talla 38,talla incorrecta
704513,916334,02/07/2024,xs,no me queda bien
703152,911493,20/07/2024,L,talla incorrecta
702968,910834,04/07/2024,L,cambió de opinión
704775,917284,2024-07-20,l,talla incorrecta
702984,910891,2024-07-21,S,no me queda bien
704637,916773,2024-07-10,40,talla incorrecta
704470,916210,2024-07-02,m,no me queda bien
702110,907764,2024-07-10,S,defecto
701332,904949,18/07/2024,l,color distinto
704695,916967,13/07/2024,Talla XS,defecto
703734,913609,2024-07-18,XS,no me queda bien
700661,902502,2024-07-20,40,defecto
703755,913686,2024-07-16,Talla S,cambió de opinión
701813,906640,2024-07-14,XL,defecto
700833,903188,2024-07-12,L,no me gusta
703663,913324,09/07/2024,Talla M,no me gusta
701761,906476,20/07/2024,M,talla incorrecta
703222,911761,06/07/2024,M,talla incorrecta
701364,905046,17/07/2024,41,talla incorrecta
700713,902716,2024-07-18,l,no me gusta
701574,905768,19 jul 2024,XL,talla incorrecta
703834,913985,13/07/2024,M,defecto
701600,905861,2024-07-18,M,talla incorrecta
705536,2046624,2024-07-07,Talla M,no me queda bien
701480,905447,2024-07-11,l,color distinto
704108,914935,08/07/2024,xs,talla incorrecta
700566,902130,20/07/2024,S,defecto
702020,907442,2024-07-11,Talla L,no me queda bien
700137,900532,2024-07-20,S,talla incorrecta
700126,900485,17 jul 2024,L,defecto
700405,901560,10/07/2024,Talla XL,defecto
705061,918350,08/07/2024,L,no me queda bien
703290,912052,2024-07-12,37,talla incorrecta
702053,907573,15/07/2024,37,defecto
700526,901982,2024-07-19,L,defecto
702626,909578,20/07/2024,S,no me queda bien
705446,919801,2024-07-15,L,me queda pequeño
702148,907892,19/07/2024,XS,cambió de opinión
703846,914013,13/07/2024,M,no me gusta
703487,912682,2024-07-17,42,color distinto
704082,914840,2024-07-19,Talla M,no me queda bien
703245,911841,2024-07-21,XL,talla incorrecta
701463,905359,2024-07-09,XS,cambió de opinión
702395,908736,10 jul 2024,S,no me queda bien
