producto_id,nombre,categoria,temporada,coleccion,coste_unitario,precio_base
1151,Zapatilla Quila,Zapatos,Verano 2024,Denim,23.51,47.09
1152,Sandalia Índigo Coral,Zapatos,verano 2024,Atelier,23.46,48.3
1153,Alpargata Faro,Zapatos,verano 2024,Playa Club,,46.79
1154,Bailarina Kala,zapatos,verano,Atelier,29.08,70.63
1155,Bailarina Noa,calzado,Verano24,Básicos,26.64,61.83
1156,Bailarina Tarde,Calzado,verano,Noche,24.65,56.23
1157,Zapatilla Iris,calzado,Verano 2024,Playa Club,23.8,47.95
1158,Bailarina Delta,zapatos,verano 2024,Denim,16.96,44.36
1159,Bailarina Junio,Zapatos,verano,Mediterráneo,21.97,51.99
1160,Sandalia Sirena Verde,Zapatos,SS24,Denim,25.96,65.05
1161,Top Yema,camiseta,Verano 2024,Mediterráneo,,23.07
1162,Blusa Brisa,CAMISETAS,Verano 2024,Mediterráneo,9.11,19.0
1163,Top Mar,Camisetas,verano,Atelier,11.85,22.89
1164,Blusa Lucía,Camisetas,Verano 2024,Mediterráneo,9.07,18.58
1165,Camiseta Rocío,camiseta,verano,Atelier,6.31,13.35
1166,Top Viento,CAMISETAS,SS24,Mediterráneo,7.4,15.5
1167,Top Bahía,camiseta,Verano24,Urban SS24,9.49,18.87
1168,Top Jara,camisetas,Verano 2024,Denim,8.68,19.82
1169,Top Selva,camisetas,Verano 2024,Noche,6.95,14.75
1170,Blusa Ola,camisetas,Verano 2024,Denim,5.39,12.32
1171,Camiseta Nube,camisetas,Verano 2024,Cápsula Sol,8.28,18.14
1172,Top Sirena,camisetas,SS24,Playa Club,,18.98
1173,Top Viento Blanco,Camisetas,Verano 2024,Mediterráneo,11.54,22.99
1174,Blusa Faro,camiseta,SS24,Playa Club,9.57,20.68
1175,Top Menta,camiseta,Verano 2024,Atelier,8.64,17.99
1176,Camiseta Jara,CAMISETAS,Verano 2024,Denim,,23.41
1177,Blusa Menta,Camisetas,Verano 2024,Urban SS24,9.72,20.83
1178,Blusa Malva,CAMISETAS,Verano 2024,Urban SS24,9.66,22.32
1179,Top Faro,camiseta,SS24,Atelier,12.13,24.02
1180,Top Índigo,camisetas,verano,Noche,6.93,17.79
1181,Camiseta Duna,camiseta,Verano 2024,Urban SS24,10.09,24.51
1182,Blusa Hebe,CAMISETAS,verano,Básicos,7.7,16.74
1183,Blusa Nube,Camisetas,Verano 2024,Cápsula Sol,8.93,22.12
1184,Top Rocío,camisetas,Verano 2024,Básicos,6.37,14.15
1185,Camiseta Laguna,Camisetas,Verano24,Urban SS24,8.84,21.81
1186,Blusa Tarde,Camisetas,SS24,Atelier,6.63,16.09
1187,Top Brisa,CAMISETAS,Verano 2024,Básicos,8.7,17.31
1188,Camiseta Costa,Camisetas,Verano 2024,Atelier,10.28,23.94
1189,Camiseta Viento,camiseta,Verano 2024,Noche,8.27,16.4
1190,Top Noa,camiseta,Verano 2024,Cápsula Sol,8.09,19.61
1191,Top Selva Marino,CAMISETAS,verano,Noche,9.31,20.63
1192,Top Cielo,Camisetas,SS24,Mediterráneo,5.31,13.33
1193,Blusa Hebe Beige,camiseta,Verano24,Atelier,7.74,20.23
1194,Top Coral,CAMISETAS,Verano 2024,Básicos,10.07,22.75
1195,Top Ónice,camiseta,Verano 2024,Noche,8.17,18.13
1196,Top Ámbar,camiseta,Verano 2024,Noche,7.3,15.48
1197,Blusa Junio,camiseta,verano,Básicos,7.35,14.87
1198,Top Dalia,camiseta,Verano 2024,Mediterráneo,7.75,16.38
1199,Top Índigo Crudo,camisetas,verano 2024,Playa Club,9.87,21.22
1200,Blusa Iris,CAMISETAS,Verano 2024,Urban SS24,9.04,21.79
1201,Camiseta Dalia,Camisetas,Verano 2024,Denim,12.38,24.28
1202,Blusa Gala,CAMISETAS,SS24,Noche,8.67,20.61
1203,Camiseta Faro,Camisetas,Verano24,Básicos,7.32,19.01
1204,Top Ola,Camisetas,Verano 2024,Denim,5.55,12.35
1205,Camiseta Duna Rojo,Camisetas,verano,Básicos,5.44,13.61
1206,Camiseta Adra,camiseta,SS24,Playa Club,7.6,15.68
1207,Blusa Tarde Kaki,camiseta,verano,Noche,8.5,16.71
1208,Blusa Faro Coral,camiseta,verano,Atelier,9.44,22.7
1209,Blusa Ónice,CAMISETAS,Verano24,Mediterráneo,5.56,13.65
1210,Blusa Quila,camiseta,SS24,Atelier,8.34,18.98
1211,Camiseta Índigo,camiseta,verano 2024,Mediterráneo,6.32,12.54
1212,Camiseta Tarde,Camisetas,SS24,Cápsula Sol,6.52,12.74
1213,Top Tarde,camiseta,Verano 2024,Denim,5.66,12.89
1214,Camiseta Ámbar,Camisetas,Verano 2024,Playa Club,7.43,17.1
1215,Blusa Lucía Coral,camisetas,Verano24,Mediterráneo,11.05,23.23
1216,Blusa Perla,Camisetas,Verano 2024,Básicos,9.17,17.83
1217,Blusa Tarde Negro,camisetas,SS24,Urban SS24,5.04,12.11
1218,Top Brisa Camel,Camisetas,SS24,Atelier,9.28,23.13
1219,Camiseta Iris,camisetas,Verano 2024,Denim,6.98,17.73
1220,Blusa Faro Crudo,Camisetas,Verano 2024,Denim,8.57,18.87
1221,Pantalón Viento,pantalones,SS24,Urban SS24,13.08,28.31
1222,Bermuda Bruma,PANTALONES,Verano24,Urban SS24,14.32,27.7
1223,Bermuda Costa,Pantalones,Verano 2024,Atelier,11.72,29.79
1224,Bermuda Mar,pantalon,Verano 2024,Denim,12.34,25.88
1225,Pantalón Menta,pantalon,SS24,Cápsula Sol,18.04,39.08
1226,Pantalón Sirena,pantalon,Verano 2024,Playa Club,17.25,35.69
1227,Pantalón Lima,Pantalones,SS24,Básicos,10.36,25.33
1228,Pantalón Quila,PANTALONES,Verano 2024,Básicos,16.83,37.14
1229,Short Menta,PANTALONES,Verano 2024,Urban SS24,15.26,38.72
1230,Short Ónice,pantalones,Verano 2024,Playa Club,12.36,25.06
1231,Short Duna,Pantalones,SS24,Básicos,14.54,35.23
1232,Pantalón Dalia,pantalon,SS24,Playa Club,13.77,26.48
1233,Short Selva,PANTALONES,Verano 2024,Noche,13.31,30.63
1234,Short Duna Rojo,pantalon,verano,Básicos,12.13,26.5
1235,Short Costa,PANTALONES,SS24,Mediterráneo,16.58,34.51
1236,Short Ónice Negro,pantalon,verano,Noche,15.78,32.57
1237,Bermuda Noa,Pantalones,Verano 2024,Noche,13.71,35.53
1238,Bermuda Sirena,pantalon,SS24,Básicos,15.04,36.15
1239,Short Faro,Pantalones,Verano 2024,Urban SS24,14.64,31.88
1240,Bermuda Vera,pantalon,SS24,Mediterráneo,19.66,41.66
1241,Short Kala,pantalon,Verano 2024,Playa Club,15.69,36.57
1242,Pantalón Gala,PANTALONES,verano 2024,Mediterráneo,15.71,38.06
1243,Pantalón Duna,pantalones,Verano 2024,Básicos,19.78,42.14
1244,Bermuda Duna,PANTALONES,SS24,Noche,10.75,26.77
1245,Bermuda Iris,pantalones,verano 2024,Básicos,20.96,40.31
1246,Short Tarde,pantalones,Verano24,Playa Club,13.79,32.78
1247,Pantalón Adra,PANTALONES,Verano 2024,Denim,19.57,43.39
1248,Bermuda Adra,pantalon,Verano 2024,Playa Club,22.9,44.58
1249,Short Aura,pantalon,verano 2024,Mediterráneo,14.64,34.29
1250,Short Mar,Pantalones,verano 2024,Denim,11.94,31.36
1251,Pantalón Gala Beige,PANTALONES,SS24,Mediterráneo,18.5,41.39
1252,Short Viento,pantalon,SS24,Atelier,14.45,33.85
1253,Pantalón Nácar,PANTALONES,Verano24,Denim,20.14,42.45
1254,Short Hebe,pantalon,verano 2024,Cápsula Sol,20.36,42.1
1255,Short Cala,pantalon,Verano 2024,Denim,13.83,31.35
1256,Bermuda Noa Blanco,pantalon,SS24,Denim,13.37,30.08
1257,Pantalón Cielo,pantalones,verano 2024,Urban SS24,19.09,41.13
1258,Short Marina,pantalones,Verano 2024,Básicos,17.22,35.14
1259,Bermuda Cielo,Pantalones,verano,Urban SS24,12.16,30.24
1260,Pantalón Cielo Azul,Pantalones,verano,Noche,21.45,41.99
1261,Pantalón Índigo,pantalones,Verano 2024,Playa Club,16.45,33.18
1262,Short Menta Blanco,PANTALONES,Verano 2024,Cápsula Sol,16.96,36.87
1263,Short Noa,Pantalones,Verano 2024,Playa Club,,39.31
1264,Pantalón Bahía,PANTALONES,Verano 2024,Atelier,19.78,44.81
1265,Short Estío,pantalones,Verano 2024,Cápsula Sol,19.88,44.68
1266,Falda Marina,Faldas,Verano24,Atelier,17.11,33.1
1267,Falda Selva,Faldas,Verano 2024,Básicos,16.7,36.41
1268,Falda Ría,faldas,Verano24,Cápsula Sol,14.69,36.99
1269,Falda Nácar,FALDAS,Verano 2024,Cápsula Sol,8.59,20.24
1270,Falda Ámbar,faldas,verano,Playa Club,14.55,37.43
1271,Falda Nube,falda,verano,Denim,16.81,39.71
1272,Falda Ulla,faldas,Verano 2024,Atelier,12.8,29.98
1273,Falda Ámbar Crudo,FALDAS,Verano 2024,Noche,16.72,32.69
1274,Falda Aura,falda,Verano24,Playa Club,19.58,39.02
1275,Falda Costa,FALDAS,Verano24,Playa Club,12.0,24.89
1276,Falda Aura Rojo,Faldas,Verano 2024,Urban SS24,12.23,24.73
1277,Falda Kala,falda,Verano 2024,Cápsula Sol,13.87,28.1
1278,Falda Yema,FALDAS,Verano24,Básicos,11.6,29.8
1279,Falda Faro,FALDAS,Verano24,Básicos,13.09,28.28
1280,Falda Malva,Faldas,Verano 2024,Urban SS24,13.29,29.54
1281,Falda Iris,Faldas,Verano 2024,Cápsula Sol,13.6,34.3
1282,Falda Ámbar Azul,faldas,Verano 2024,Urban SS24,15.21,36.05
1283,Falda Menta,falda,SS24,Noche,10.45,24.64
1284,Falda Cala,Faldas,verano,Denim,10.65,20.7
1285,Falda Menta Kaki,FALDAS,Verano 2024,Denim,18.63,39.82
1286,Falda Ría Verde,faldas,Verano 2024,Playa Club,12.77,28.43
1287,Falda Mar,faldas,SS24,Atelier,16.76,35.59
1288,Falda Cala Marino,Faldas,verano,Mediterráneo,12.01,30.24
1289,Falda Noa,FALDAS,Verano24,Cápsula Sol,11.05,22.39
1290,Falda Palma,Faldas,verano 2024,Mediterráneo,9.32,23.54
1291,Falda Nácar Verde,falda,SS24,Básicos,13.16,28.71
1292,Falda Vera,Faldas,Verano 2024,Mediterráneo,,32.8
1293,Falda Laguna,Faldas,Verano 2024,Playa Club,18.98,37.48
1294,Falda Nube Negro,FALDAS,Verano 2024,Atelier,13.2,28.15
1295,Falda Bruma,faldas,Verano24,Mediterráneo,14.49,36.18
1296,Cárdigan Sol,Jerseis,SS24,Mediterráneo,20.57,41.51
1297,Cárdigan Malva,jersey,Verano 2024,Cápsula Sol,15.51,39.25
1298,Cárdigan Perla,Jerseis,verano,Cápsula Sol,14.14,30.07
1299,Cárdigan Rocío,jersey,Verano 2024,Cápsula Sol,21.7,43.49
1300,Jersey Laguna,Jerseis,SS24,Playa Club,15.98,32.84
1301,Cárdigan Cala,jerseis,verano,Mediterráneo,20.9,46.93
1302,Cárdigan Ámbar,JERSEIS,SS24,Noche,21.06,47.49
1303,Cárdigan Dalia,jerseis,Verano 2024,Noche,14.78,34.22
1304,Jersey Junio,jerseis,Verano 2024,Cápsula Sol,22.58,44.49
1305,Jersey Quila,Jerseis,Verano24,Básicos,16.33,32.92
1306,Jersey Nube,jersey,Verano 2024,Básicos,15.22,38.88
1307,Jersey Selva,JERSEIS,Verano24,Básicos,20.41,42.98
1308,Jersey Junio Kaki,jerseis,verano,Atelier,,36.22
1309,Jersey Malva,jerseis,Verano 2024,Playa Club,14.54,29.96
1310,Jersey Noa,Jerseis,Verano 2024,Básicos,18.85,40.69
1311,Jersey Mar,jerseis,verano 2024,Playa Club,15.17,30.25
1312,Jersey Faro,Jerseis,Verano24,Denim,15.75,35.92
1313,Cárdigan Delta,jersey,Verano 2024,Denim,15.02,38.98
1314,Cárdigan Cala Coral,jersey,Verano 2024,Mediterráneo,17.79,42.15
1315,Cárdigan Faro,JERSEIS,Verano 2024,Urban SS24,13.41,32.56
1316,Cárdigan Palma,Jerséis,Verano 2024,Urban SS24,21.94,43.89
1317,Jersey Noa Beige,Jerséis,verano 2024,Denim,13.69,27.13
1318,Cárdigan Nube,jersey,verano,Cápsula Sol,18.78,40.14
1319,Jersey Palma,Jerseis,verano,Urban SS24,15.51,30.13
1320,Jersey Jara,jerseis,Verano 2024,Noche,16.51,35.05
1321,Jersey Cielo,jersey,verano,Atelier,18.18,37.98
1322,Cárdigan Dalia Rosa,jerseis,Verano24,Urban SS24,16.83,33.07
1323,Cárdigan Noa,jersey,verano,Urban SS24,15.8,32.89
1324,Jersey Lucía,Jerseis,Verano24,Denim,15.82,40.15
1325,Jersey Palma Verde,jersey,SS24,Atelier,19.98,46.91
1326,Gabardina Marina,Abrigos,SS24,Urban SS24,32.1,67.24
1327,Blazer Cala,Abrigos,Verano 2024,Mediterráneo,37.32,77.26
1328,Gabardina Brisa,ABRIGOS,verano,Playa Club,23.47,51.49
1329,Chaqueta Rocío,ABRIGOS,Verano24,Cápsula Sol,22.5,45.8
1330,Chaqueta Marina,abrigos,Verano 2024,Noche,22.15,48.41
1331,Chaqueta Malva,abrigos,Verano 2024,Básicos,,73.27
1332,Chaqueta Tarde,ABRIGOS,Verano 2024,Noche,33.85,87.31
1333,Gabardina Quila,ABRIGOS,SS24,Básicos,42.58,89.35
1334,Blazer Bahía,Abrigos,SS24,Noche,20.49,41.41
1335,Blazer Noa,Abrigos,verano,Noche,33.77,70.3
1336,Gabardina Ría,abrigos,Verano 2024,Mediterráneo,40.44,80.41
1337,Blazer Palma,abrigos,verano 2024,Mediterráneo,26.48,63.78
1338,Gabardina Marina Marino,abrigos,Verano24,Urban SS24,28.5,61.23
1339,Chaqueta Selva,ABRIGOS,verano,Playa Club,23.36,55.93
1340,Chaqueta Hebe,abrigos,Verano 2024,Denim,32.9,80.92
1341,Gabardina Marina Rosa,Abrigos,Verano 2024,Playa Club,20.17,40.01
1342,Blazer Gala,Abrigos,Verano 2024,Mediterráneo,27.01,54.22
1343,Chaqueta Cielo,abrigo,Verano 2024,Playa Club,35.73,81.92
1344,Chaqueta Brisa,abrigos,Verano 2024,Básicos,21.65,48.33
1345,Gabardina Yema,ABRIGOS,Verano 2024,Cápsula Sol,43.47,85.68
1346,Chaqueta Ría,ABRIGOS,Verano 2024,Mediterráneo,17.49,45.31
1347,Chaqueta Duna,ABRIGOS,Verano 2024,Noche,38.9,80.46
1348,Blazer Delta,abrigos,Verano 2024,Urban SS24,24.82,54.42
1349,Blazer Delta Coral,abrigo,SS24,Atelier,,53.2
1350,Gabardina Dalia,ABRIGOS,Verano 2024,Atelier,24.13,57.49
1351,Pañuelo Duna,complementos,verano,Mediterráneo,10.7,26.88
1352,Bolso Ola,accesorio,verano,Denim,5.86,12.43
1353,Cinturón Bruma,accesorio,SS24,Noche,5.86,13.83
1354,Sombrero Junio,complementos,Verano 2024,Atelier,5.16,10.85
1355,Pañuelo Selva,ACCESORIOS,verano,Básicos,10.6,26.01
1356,Cinturón Lucía,complementos,Verano 2024,Noche,15.98,31.86
1357,Pañuelo Ónice,Accesorios,SS24,Urban SS24,7.49,16.44
1358,Cinturón Lima,accesorio,verano,Playa Club,10.79,26.83
1359,Bolso Estío,complementos,verano,Denim,11.59,29.93
1360,Pañuelo Bahía,ACCESORIOS,verano,Noche,8.72,18.88
1361,Sombrero Cala,ACCESORIOS,verano 2024,Cápsula Sol,6.2,14.66
1362,Sombrero Brisa,complementos,SS24,Atelier,13.22,26.07
1363,Pañuelo Costa,accesorio,SS24,Cápsula Sol,15.47,31.93
1364,Pañuelo Ébano,accesorio,Verano 2024,Mediterráneo,5.17,11.29
1365,Cinturón Zafiro,ACCESORIOS,Verano 2024,Básicos,11.19,27.56
1366,Bolso Bruma,Accesorios,Verano 2024,Urban SS24,10.74,26.15
1367,Pañuelo Hebe,complementos,verano,Cápsula Sol,6.47,13.47
1368,Bolso Laguna,ACCESORIOS,verano 2024,Urban SS24,7.84,20.18
1369,Cinturón Costa,accesorio,verano,Urban SS24,6.53,15.16
1370,Cinturón Brisa,ACCESORIOS,verano,Cápsula Sol,12.81,32.7
1371,Sombrero Hebe,accesorio,Verano 2024,Denim,13.83,33.17
1372,Pañuelo Mar,Accesorios,Verano 2024,Playa Club,11.99,28.06
1373,Bolso Quila,complementos,Verano 2024,Cápsula Sol,5.52,14.01
